" ticket_id"," title"
"27-2303","Issue with failing DNS lookups"
"27-2290","Different behavior for UnboundMethod than in MRI 1.9"
"27-2243","[rails] (ArgumentError) ""comparison of #<Enumerable::SortedElement:0xcf8ec..failed (6)"
"27-2241","Date._parse has different arity than 1.9.3"
"27-2219","Benchmarking bm_loop_whileloop.rb failed on i386 with Error::EDOM"
"27-2200","Support accessing Fiber-locals and backtraces for a Fiber"
"27-2182","Hover state on long titles on blog looks busted"
"27-2166","IO performance"
"27-2155","FFI-Inline gem fails rspec"
"27-2123","Cannot attach LLVM via FFI"
"27-2121","Ensure the tests for these FFI projects pass on Rubinius"
"27-2102","Crash after Guard test run"
"27-2087","Possible Regexp issue with Oniguruma in 1.8 language mode"
"27-2081"," IO::InternalBuffer#fill_from crash when tab completing in ""xiki"" gem console"
"27-2078","Extend FFI::Platform::POSIX with faster native IO methods"
"27-2077","Cleanup Array and add Reflector"
"27-2044","eventmachine fork test failure with rubinius"
"27-2026","Scoping on $_ var is wrong"
"27-2006","Ensure the tests for these C-exts pass on Rubinius"
"27-1991","Rails usage of jit_stub primitives"
"27-1976","Group permissions"
"27-1941","next inside of an ensure block crashes compiler"
"27-1867","Missing concurrency primitives"
"27-1851","Pure Rubinius C++ API"
"27-1738","Trailing hash support in IO.popen"
"27-1644","Rubinius::EncodingClass::Encoding::CompatibilityError"
"27-1547","In irb, variable is not created if it's defined in code that never runs"
"27-1481","#readlines significantly slower than MRI"
"27-1099","Embed API"
"27-1043","Static and shared libraries for rubinius"
"27-985","CSV is much slower than MRI"
"27-965","much slower Nokogiri iteration"
"27-629","Debugger ""next"" doesn't catch exception rescue's sometimes"
"27-575","Be able to get/set the return value of a method at a ""safe"" location such as a RET instruction."
"28-151","Lifecycle conditions are disabled on restart"
"28-150","Create Root_CA_Resistrant_License"
"28-149","unicorn_rails start command exited with non-zero code = 10"
"28-144","statsd_contact"
"28-142","[fix #129] Fix register/de-register bug when process is restarted out-of-band."
"28-141","Explicitly exit from forked process to force file descriptors to be flushed"
"28-140","Specify syslog server for remote logging"
"28-135","Email notifications are missing information."
"28-132","Prevent from starts two processes"
"28-130","Added support for IRC notifications"
"28-129","god doesn't seem to properly de-register process_exit monitoring"
"28-128","Duplicate processes starting"
"28-127","clean_pid_file behavior seems too naive"
"28-126","God and Ruby 2.0.0"
"28-124","WARN: technical_worker start command exited with non-zero code = 1"
"28-123","Support for additional groups and basic expectations in sockets"
"28-121","god thinks its really THE GOD and kills non-monitored process mongod at times"
"28-120","Small change to campfire contact to allow the use of a proxy to get to outside world"
"28-119","something is wrong on the website?"
"28-118","God::EventHandler.start will not called unless initial config file"
"28-117","Not stop and restart Unicorn"
"28-116","Enable multiple gods on one system, run by non-root users."
"28-115","God gets stuck in ""start"" state and never restarts process"
"28-114","w.keepalive(:socket_responding => ""tcp:12345"") ignored?"
"28-113","Process Dependencies?"
"28-112","Adds an upstart init script"
"28-110","Watch#keepalive insists on using EventHandler when it is not operational"
"28-108","God reports incorrect up status when it fails to fork"
"28-107","Debugging custom conditions is incredibly hard"
"28-105","Would like to add a shell return conditional which would be nice"
"28-104","Manually changing working directory causes god to lose track of PID"
"28-103","When caught USR1,  reopen log file if defined."
"28-102","Multiple groups support"
"28-99","Missing event system in Ubuntu linux?"
"28-96","Your core language patches break ActiveSupport"
"28-93","Suggestion: Rename `stop` command to `smite`"
"28-91","Can not stop after one ""stop start"" cycle "
"28-90","Conditions for child processes"
"28-89","Missing proc_exit event"
"28-87","Corrected Typo in god.asciidoc L#587"
"28-85","Documentation wrong for email notifications per smtp"
"28-83","Duplicate PIDs in .god/pids"
"28-81","Segmentation fault with Ruby Enterprise Edition 2011.12"
"28-80","SSL support for SMTP notifications"
"28-77","Added Twilio Contact"
"28-69","segfault with Ruby 1.9.3-p0 and Ubuntu 10.04"
"28-66","Unhandled exception (StandardError): No buffer space available"
"28-61","sugar.rb causes 5.kilobytes and 5.bytes to return the same value"
"28-60","Stuck on init"
"28-51","God appears to be leaving old god processes around indefinitely"
"28-49","Beefed up Complex test method"
"28-33","documentation problem for server_auth email configuration option"
"28-30","Including child processes in CPU/memory usage"
"28-27","God occasionally does not realise that a process has died and reports 0kb memory usage in log"
"28-26","Setting working directory not working with Ruby 1.9.2 ?"
"28-21","Increment/decrement processes"
"28-14","disk_usage doesn't work (Ubuntu 10.4)"
"28-12","log feature undocumented"
"28-11","God notifications don't work properly using TLS and gmail hosted domains"
"28-9","Race condition makes ""god terminate"" intermittently fail"
"28-7","Multiple Processes/PIDs per Watch"
"28-6","Ruby 1.9.1 and god"
"28-5","""god check"" failure"
"28-4","God segfaults on new RE with thread patches"
"28-2","Twitter gem has changed"
"28-1","The server is not available (or you do not have permissions to access it)"
"42-32","Password validation on all attribute updates"
"42-31","consuming plugin's authentication data in other languages (java)"
"42-30","Cleaned up a bunch of markdown formatting in README"
"42-29","Rake deprecation warning for Rails 2.3.10"
"42-28","Make the README actually markdown"
"42-27","Not on rubygems.org"
"42-26","Removed duplicate recently_activated? action"
"42-24","Could not find generator authenticated"
"42-23","Date formatting problem"
"42-22","Support Rails' standard plugin installation mechanism."
"42-21","logout does not invalidate sessions when using ActiveRecord::SessionStore"
"42-20","Support for .cat TLD domains"
"42-19","recently_activated missing question mark (?) in generator"
"42-17","NoMethodError when session kept in cookie is recovered"
"42-16","Validation with Authentication.email_regex fails on some RFC5322-valid addresses"
"42-15","Forceful Migrations"
"42-14","Default redirect for 'SessionsController#create' template is hard coded"
"42-13","password validation in model should override that set in plugin"
"42-11","Incompatible with Rails 3 bundler"
"42-10","display welcome message with username after login"
"42-9","SecurityError"
"42-8","removed installation instructions as submodule"
"42-7","Cucumber issues"
"42-6","Move to Gemcutter?"
"42-5","remember_me will never work?"
"42-4","Master branch broken create user method"
"42-3","missed issue in documentation"
"42-2","database session store"
"42-1","note_failed_signin unescaped string"
"43-48","Error when attempting to install attachment_fu using bundler"
"43-47","Depracation Fix"
"43-46","Please pull fix for rails 1.2.6"
"43-44","test do not run without being inside a rails project"
"43-42","keep aspect ratio on resize option"
"43-39","In my production machine thumbnils arte not getting created"
"43-38","Kernel#returning => Object#tap"
"43-34","TypeError (can't convert nil into Integer): "
"43-32","Server Setting Missing In Config File"
"43-31","Solved Rails 3.0.3 temp_file size problem. Maybe this needs a more solid fix"
"43-30","Rails3 and attachment_fu"
"43-29","Word 2010 view"
"43-28","Validating image dimensions before save"
"43-27","Core Image Processor causes segmentation faults on OS X 10.6.x - 64bit."
"43-26","remove ""returning"" to avoid rails 2.3.9 deprecation warnings"
"43-25","attachment_fu + ruby 1.9.1"
"43-23","S3/Cloud Creates wrong public path when using separate thumbnail class"
"43-22","Switching between different machines "
"43-20","batch import does not create thumbnails and does not take into account MetaModel attachment options"
"43-18","displaying pdf attachment inline, in the view (problem with browsers on Windows) "
"43-17","Rails 3"
"43-15","bug in ImageScience when it processes .gifs"
"43-14","in Windows, uploading to Amazon S3 and Rackspace Cloud Files fails"
"43-13","Uploaded files end up in wrong place"
"43-12","public_filename does not return relative path"
"43-11","Mongrel_rails prefix"
"43-10","attachement_fu and rails 3.0"
"43-9","No such file to load -- ftools"
"43-7","Datamapper support?"
"43-6","Size restrictions are not properly applied to separate thumbnail class."
"43-5","GD2 problem"
"43-4","Tempfiles in tmp/attachment_fu are not proactively deleted"
"43-3","Files not properly required"
"43-1","validates_as_attachment does not allow for custom error messages"
"47-2","Fix for issue #1"
"47-1","log directory should be created if needed"
"68-204","how to resolve this error?"
"68-198","chroot support for thin"
"68-197","Add Upstart support to thin init script"
"68-195","Why after 'thin install' incorrect thin path?"
"68-192","Empty response by giving body in Array whose total length is as large as 2GB"
"68-184","thin install - systemD support"
"68-183","Thin does not correctly handle output to a pipe"
"68-180","Bundle Exec Thin Start Dies with Spaces in File Path on Windows"
"68-172","Thin not using group permisions correctly"
"68-171","Fix condition for String#encode!"
"68-170","Fixes problem with connections requests keep-alive and thin"
"68-169","Limit of only 6 concurrent connections open per client?"
"68-167","Thin 2"
"68-161","Too many open files when running with SSL enabled."
"68-151","Non-standard Keep-alive behavior"
"68-142","Thin 1.5 can't run as another user/group"
"68-140","--all should ignore files not matching *.yml"
"68-138","Make log and pid files group writable"
"68-128","HUP does not function properly unless thin is running as a daemon"
"68-123","Non-Rack embeddable http-server connection"
"68-112","Failing test: it 'should force kill process in pid file'"
"68-101","Create a ""status"" command"
"68-93","Thin returns 0 even when not started all instances"
"68-87","Explicit or implicit support for `bundle exec`"
"68-85","License"
"68-78","about rack protocol version "
"68-76","[patch] commint 55c024c2 breaks unittests"
"68-75","Starting w/ sudo on ports >1024 fails to bind w/ -u option."
"68-61","Unable to schedule jobs reliably in rails initializer"
"68-40","Thin is not supporting pipelining?"
"68-34","Empty pid file wound't let thin run"
"68-33","Thin does not handle duplicate Header names."
"68-21","Thin not returning an exit code of 1 when a rails app fails to start up as a daemon."
"68-20","thin limits which response headers may be repeated"
"68-17","Change to rack from rails renders prefix useless"
"68-15","problem with send_data"
"68-11","/etc/init.d/thin stop always fails"
"68-8","When using request absolute URI Thin leaves PATH_INFO empty"
